root of term,terms,accuracy,precision,recall,Fscore,tp,fp,tn,fn
record,[recorder; recorded],0.79438316822052,0.6666666865348816,0.009708737954497337,0.019138756164733543,2,1,790,204
stream,[stream],0.79438316822052,0.6666666865348816,0.009708737954497337,0.019138756164733543,2,1,790,204
option,[option; options],0.7933801412582397,0.5,0.009708737954497337,0.019047619221634875,2,2,789,204
return,[return],0.7923771142959595,0.4000000059604645,0.009708737954497337,0.01895734615062827,2,3,788,204
delta,[delta],0.7923771142959595,0.4000000059604645,0.009708737954497337,0.01895734615062827,2,3,788,204
util,[util],0.791374146938324,0.3333333432674408,0.009708737954497337,0.01886792471496426,2,4,787,204
document,[document],0.791374146938324,0.3333333432674408,0.009708737954497337,0.01886792471496426,2,4,787,204
send,[send],0.7903711199760437,0.2857142984867096,0.009708737954497337,0.018779342919742453,2,5,786,204
chang,[changed; change],0.7903711199760437,0.2857142984867096,0.009708737954497337,0.018779342919742453,2,5,786,204
label,[labeled; label],0.7893680930137634,0.25,0.009708737954497337,0.018691588952618087,2,6,785,204
root,[root],0.7893680930137634,0.25,0.009708737954497337,0.018691588952618087,2,6,785,204
string,[string],0.7883650660514832,0.2222222238779068,0.009708737954497337,0.018604651334609385,2,7,784,204
scanner,[scanner],0.7883650660514832,0.2222222238779068,0.009708737954497337,0.018604651334609385,2,7,784,204
abstract,[abstract],0.7873620986938477,0.20000000298023224,0.009708737954497337,0.018518518695776417,2,8,783,204
copi,[copy],0.7873620986938477,0.20000000298023224,0.009708737954497337,0.018518518695776417,2,8,783,204
jar,[jar],0.7863590717315674,0.1818181872367859,0.009708737954497337,0.018433179914319697,2,9,782,204
except,[exception],0.7823470234870911,0.13333334028720856,0.009708737954497337,0.01809954773250633,2,13,778,204
fragment,[fragment],0.7813440561294556,0.125,0.009708737954497337,0.01801801817372977,2,14,777,204
local,[local],0.7813440561294556,0.125,0.009708737954497337,0.01801801817372977,2,14,777,204
constant,[constant; constants],0.7803410291671753,0.11764705926179886,0.009708737954497337,0.017937219890354072,2,15,776,204
requestor,[requestor],0.7783349752426147,0.10526315867900848,0.009708737954497337,0.017777777940549966,2,17,774,204
member,[member],0.7773320078849792,0.10000000149011612,0.009708737954497337,0.017699115217835987,2,18,773,204
select,[selection],0.7723169326782227,0.07999999821186066,0.009708737954497337,0.01731601741794426,2,23,768,204
liter,[literal],0.7723169326782227,0.07999999821186066,0.009708737954497337,0.01731601741794426,2,23,768,204
info,[info],0.7522567510604858,0.04444444552063942,0.009708737954497337,0.01593625517107169,2,43,748,204
foreach,[foreach],0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
selector,[selector],0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
main,[main],0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
