root of term,terms,accuracy,precision,recall,Fscore,tp,fp,tn,fn
insid,[inside],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
anonym,[anonymous],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
weak,[weak],0.791374146938324,0.0,0.0,0.0,0,2,789,206
unari,[unary],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
flag,[flags],0.791374146938324,0.0,0.0,0.0,0,2,789,206
while,[while],0.791374146938324,0.0,0.0,0.0,0,2,789,206
instanceof,[instanceof],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
helper,[helper],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
global,[global],0.791374146938324,0.0,0.0,0.0,0,2,789,206
in,[in],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
assign,[assignment],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
align,[alignment],0.791374146938324,0.0,0.0,0.0,0,2,789,206
categor,[categorized],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
applic,[application],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
becom,[become],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
event,[event],0.7863590717315674,0.0,0.0,0.0,0,7,784,206
enclos,[enclosing],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
overflow,[overflowing],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
integ,[integer],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
inform,[information],0.791374146938324,0.0,0.0,0.0,0,2,789,206
magic,[magic],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
target,[target],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
comput,[computer],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
disk,[disk],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
equal,[equal],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
postfix,[postfix],0.791374146938324,0.0,0.0,0.0,0,2,789,206
request,[request],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
handler,[handler],0.791374146938324,0.0,0.0,0.0,0,2,789,206
fals,[false],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
commit,[commit],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
short,[short],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
instal,[install],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
naiv,[naive],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
open,[openable],0.791374146938324,0.0,0.0,0.0,0,2,789,206
data,[data],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
discard,[discard],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
min,[min],0.791374146938324,0.0,0.0,0.0,0,2,789,206
enhanc,[enhanced],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
compar,[comparator],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
buffer,[buffer],0.7863590717315674,0.0,0.0,0.0,0,7,784,206
path,[path],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
collector,[collector],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
final,[finally],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
null,[null],0.7893680930137634,0.0,0.0,0.0,0,4,787,206
hash,[hash],0.7883650660514832,0.0,0.0,0.0,0,5,786,206
cursor,[cursor],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
cascad,[cascading],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
restrict,[restriction],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
conflict,[conflict],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
lex,[lex],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
detector,[detector],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
kind,[kind],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
indent,[indent],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
manipul,[manipulation],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
concaten,[concatenation],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
skeleton,[skeleton],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
job,[job],0.7903711199760437,0.0,0.0,0.0,0,3,788,206
child,[child],0.791374146938324,0.0,0.0,0.0,0,2,789,206
progress,[progress],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
sibl,[sibling],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
brank,[brank],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
raw,[raw],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
sort,[sort],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
uncondit,[unconditional],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
system,[system],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
should,[should],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
not,[not],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
implement,[implement],0.7923771142959595,0.0,0.0,0.0,0,1,790,206
