identifier,accuracy,precision,recall,Fscore,tp,fp,tn,fn
string,0.7883650660514832,0.2222222238779068,0.009708737954497337,0.018604651334609385,2,7,784,204
sorter,0.791374146938324,0.0,0.0,0.0,0,2,789,206
store,0.791374146938324,0.0,0.0,0.0,0,2,789,206
recovery,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
invalid,0.791374146938324,0.0,0.0,0.0,0,2,789,206
input,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
exception,0.7823470234870911,0.13333334028720856,0.009708737954497337,0.01809954773250633,2,13,778,204
end,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
offsets,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
methods,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
notifier,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
prefix,0.791374146938324,0.0,0.0,0.0,0,2,789,206
pair,0.7843530774116516,0.0,0.0,0.0,0,9,782,206
selector,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
wildcard,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
document,0.791374146938324,0.3333333432674408,0.009708737954497337,0.01886792471496426,2,4,787,204
tool,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
bytecode,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
throw,0.791374146938324,0.0,0.0,0.0,0,2,789,206
thrown,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
working,0.7863590717315674,0.0,0.0,0.0,0,7,784,206
owner,0.791374146938324,0.0,0.0,0.0,0,2,789,206
annotatable,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
creation,0.791374146938324,0.0,0.0,0.0,0,2,789,206
enum,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
stats,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
converter,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
continue,0.791374146938324,0.0,0.0,0.0,0,2,789,206
additional,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
entity,0.791374146938324,0.0,0.0,0.0,0,2,789,206
rename,0.791374146938324,0.0,0.0,0.0,0,2,789,206
matcher,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
reconcile,0.791374146938324,0.0,0.0,0.0,0,2,789,206
doc,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
incremental,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
image,0.7953861355781555,0.75,0.014563106931746006,0.02857142883245232,3,1,790,203
non,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
float,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
verbose,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
compound,0.791374146938324,0.0,0.0,0.0,0,2,789,206
core,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
preference,0.791374146938324,0.0,0.0,0.0,0,2,789,206
verification,0.791374146938324,0.0,0.0,0.0,0,2,789,206
param,0.791374146938324,0.0,0.0,0.0,0,2,789,206
correction,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
directory,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
memory,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
resolver,0.7903711199760437,0.20000000298023224,0.004854368977248669,0.009478673075314135,1,4,787,205
classes,0.791374146938324,0.0,0.0,0.0,0,2,789,206
syntax,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
propagator,0.791374146938324,0.0,0.0,0.0,0,2,789,206
handle,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
tracked,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
position,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
analyzer,0.7953861355781555,1.0,0.009708737954497337,0.019230769408147604,2,0,791,204
evaluation,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
check,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
debug,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
attributes,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
extended,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
work,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
queue,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
operator,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
structure,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
folders,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
boolean,0.791374146938324,0.0,0.0,0.0,0,2,789,206
parsing,0.791374146938324,0.0,0.0,0.0,0,2,789,206
read,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
write,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
status,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
catch,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
clause,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
remove,0.791374146938324,0.0,0.0,0.0,0,2,789,206
from,0.791374146938324,0.0,0.0,0.0,0,2,789,206
build,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
user,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
library,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
base,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
optimized,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
replace,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
edit,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
modify,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
listener,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
configurable,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
option,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
synthetic,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
cast,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
updater,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
marker,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
registry,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
visible,0.791374146938324,0.0,0.0,0.0,0,2,789,206
do,0.791374146938324,0.0,0.0,0.0,0,2,789,206
generic,0.791374146938324,0.0,0.0,0.0,0,2,789,206
try,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
infix,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
word,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
delta,0.7923771142959595,0.4000000059604645,0.009708737954497337,0.01895734615062827,2,3,788,204
modifier,0.791374146938324,0.0,0.0,0.0,0,2,789,206
inside,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
anonymous,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
proposal,0.7953861355781555,1.0,0.009708737954497337,0.019230769408147604,2,0,791,204
unary,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
flags,0.791374146938324,0.0,0.0,0.0,0,2,789,206
while,0.791374146938324,0.0,0.0,0.0,0,2,789,206
instanceof,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
options,0.79438316822052,0.6666666865348816,0.009708737954497337,0.019138756164733543,2,1,790,204
helper,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
global,0.791374146938324,0.0,0.0,0.0,0,2,789,206
indexing,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
in,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
assignment,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
alignment,0.791374146938324,0.0,0.0,0.0,0,2,789,206
categorized,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
application,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
become,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
nested,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
intersecting,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
overflowing,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
integer,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
